what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557034809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557037523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557095143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557095501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557346681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557347617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557380165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557388532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557389226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1422557407006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1422557410559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1422557414877
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1422557422061
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1422557423231
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1422557428821
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1422557436767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1422557442399
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1422557447354
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1422557448415
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1422557452996
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1422557472087
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1422557473872
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1422557473919
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1422557479737
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1422557503363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557503425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557507514
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1422557508767
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1422557534930
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1422557546179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557549937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557773355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422557829187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558027297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558061469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558062062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558069510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558099108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1422558105406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1422558105608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1422558116234
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1422558118282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558118566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558122575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558125642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558414219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558414672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558415077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558415467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558416263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558419515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558490277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558498399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558498711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558499012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558499449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558499768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558500189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558500533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558500813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558501656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558502732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558503200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558503606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558504186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558504622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558505012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558505356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558507898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558581943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1422558585953
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1422558586863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558587164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558588412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558604167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558604809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558605215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1422558606478
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1422558607945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558608257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558609208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1422558612703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1422558613108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1422558614138
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1422558615199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558615495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558625459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1422558651387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1422558655174
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1422558661209
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1422558667684
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/AC/Documents/2014W2_UBC/EECE_381/a_Mod1/software/mod1/mod1.elf] return code: 8",1422558672232
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1422558672247
error,log,,,"Downloading ELF Process failed",1422558672263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558672294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558674322
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1422558676477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558676820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422558678838
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1422558678853
